prompt,response,originality,elaboration,dissimilarity,elaboration_SW,flexibility,flexibility_augmented
brick,strength tester (punching),2.7,5,0.3393198847770691,5,0,0.0
brick,art,2.1,1,0.41035181283950806,1,1,0.7612293144208038
brick,pencil holder,2.1,2,0.31103360652923584,2,1,0.9235055724417427
brick,writing utensil,2.1,2,0.29653388261795044,2,0,0.0
brick,earrings,2.2,1,0.40215420722961426,1,0,0.0
brick,to mark a path in the woods by scratching away the bark on trees,3.0,14,0.33950167894363403,7,0,0.0
brick,building a fort,1.2,3,0.3204769492149353,2,1,0.8134076325565687
brick,use it for an award,3.3,5,0.2984349727630615,2,2,1.512158054711246
brick,a door stop,1.6,3,0.27814388275146484,2,2,1.7708544410672071
brick,crushed up to make jewelry,2.3,5,0.2892908453941345,3,1,0.7612293144208038
brick,making a wall to a garden,1.0,6,0.28583693504333496,3,1,1.5018574805808849
brick,riser for beds,1.7,3,0.27461153268814087,2,0,0.0
brick,weapon,1.9,1,0.39190077781677246,1,1,0.7509287402904424
brick,make a shoe,1.7,3,0.2679838538169861,2,1,1.5224586288416075
brick,to break stuff,1.3,3,0.2752191424369812,2,1,0.8134076325565687
brick,weapons,1.5,1,0.3953826427459717,1,0,0.0
brick,stack several with boards in between and make a unique shelving unit,3.7,12,0.33872079849243164,7,2,1.6085781830462682
brick,paperweight,1.4,1,0.3242448568344116,1,0,0.0
brick,shower,1.3,1,0.37905436754226685,1,0,0.0
brick,hit someone on the head,1.5,5,0.38665854930877686,3,1,0.7509287402904424
brick,use it to carve wood,2.5,5,0.2942861318588257,3,2,1.512158054711246
brick,locksmith,1.4,1,0.3484077453613281,1,0,0.0
brick,practice your balance on it  one foot on it at a time,2.2,12,0.3657674789428711,5,2,1.6545086119554204
brick,yard art,2.7,2,0.3243681788444519,2,1,0.7612293144208038
brick,a massage tool,3.2,3,0.28525352478027344,2,1,0.9235055724417427
brick,window prop  keep window open,1.4,5,0.32513320446014404,5,2,3.6740965889902064
brick,use as pavement,1.0,3,0.31427454948425293,2,1,0.7612293144208038
